reporter_name,reporter_code,year,classification,classification_version,product_code,mtn_categories,partner_code,partner_name,value
"United States of America",C840,2021,MTN,MT4,AG,"Agricultural products",C004,Afghanistan,8165712
"United States of America",C840,2020,MTN,MT4,AG,"Agricultural products",C858,Uruguay,399762073
"United States of America",C840,2023,MTN,MT4,AG,"Agricultural products",C670,"Saint Vincent and the Grenadines",164564
"United States of America",C840,2021,MTN,MT4,AG,"Agricultural products",C104,Myanmar,17094731
"United States of America",C840,2021,MTN,MT4,AG,"Agricultural products",C678,"Sao Tomé and Principe",44359
"United States of America",C840,2021,MTN,MT4,AG,"Agricultural products",C792,Türkiye,1335571062
"United States of America",C840,2020,MTN,MT4,AG,"Agricultural products",C004,Afghanistan,5382834
"United States of America",C840,2022,MTN,MT4,AG,"Agricultural products",A000,World,194028773979
"United States of America",C840,2024,MTN,MT4,AG,"Agricultural products",C070,"Bosnia and Herzegovina",4337977
"United States of America",C840,2024,MTN,MT4,AG,"Agricultural products",C860,Uzbekistan,9032847
"United States of America",C840,2023,MTN,MT4,AG,"Agricultural products",C028,"Antigua and Barbuda",295068
"United States of America",C840,2023,MTN,MT4,AG,"Agricultural products",C152,Chile,3088587500
"United States of America",C840,2024,MTN,MT4,AG,"Agricultural products",C384,"Côte d'Ivoire",816068820
"United States of America",C840,2024,MTN,MT4,AG,"Agricultural products",C760,"Syrian Arab Republic",4631581
"United States of America",C840,2021,MTN,MT4,AG,"Agricultural products",C140,"Central African Republic",71475
"United States of America",C840,2021,MTN,MT4,AG,"Agricultural products",C554,"New Zealand",3053035179
"United States of America",C840,2021,MTN,MT4,AG,"Agricultural products",C854,"Burkina Faso",2929541
"United States of America",C840,2020,MTN,MT4,AG,"Agricultural products",C204,Benin,4897238
"United States of America",C840,2024,MTN,MT4,AG,"Agricultural products",C028,"Antigua and Barbuda",234213
"United States of America",C840,2024,MTN,MT4,AG,"Agricultural products",C222,"El Salvador",394223201
"United States of America",C840,2024,MTN,MT4,AG,"Agricultural products",C762,Tajikistan,228943
"United States of America",C840,2021,MTN,MT4,AG,"Agricultural products",C036,Australia,3547337470
"United States of America",C840,2022,MTN,MT4,AG,"Agricultural products",C320,Guatemala,2782721532
"United States of America",C840,2022,MTN,MT4,AG,"Agricultural products",C795,Turkmenistan,3380965
"United States of America",C840,2023,MTN,MT4,AG,"Agricultural products",C508,Mozambique,12570894
"United States of America",C840,2024,MTN,MT4,AG,"Agricultural products",C112,Belarus,7695182
"United States of America",C840,2021,MTN,MT4,AG,"Agricultural products",C051,Armenia,18636904
"United States of America",C840,2021,MTN,MT4,AG,"Agricultural products",C152,Chile,3130328925
"United States of America",C840,2021,MTN,MT4,AG,"Agricultural products",C332,Haiti,33367863
"United States of America",C840,2023,MTN,MT4,AG,"Agricultural products",C070,"Bosnia and Herzegovina",5468181
"United States of America",C840,2022,MTN,MT4,AG,"Agricultural products",C659,"Saint Kitts and Nevis",1713995
"United States of America",C840,2022,MTN,MT4,AG,"Agricultural products",C670,"Saint Vincent and the Grenadines",237964
"United States of America",C840,2023,MTN,MT4,AG,"Agricultural products",C426,Lesotho,12000
"United States of America",C840,2023,MTN,MT4,AG,"Agricultural products",C682,"Saudi Arabia, Kingdom of",9346613
"United States of America",C840,2024,MTN,MT4,AG,"Agricultural products",C608,Philippines,1303240188
"United States of America",C840,2021,MTN,MT4,AG,"Agricultural products",C212,Dominica,377930
"United States of America",C840,2023,MTN,MT4,AG,"Agricultural products",C562,Niger,449477
"United States of America",C840,2020,MTN,MT4,AG,"Agricultural products",C682,"Saudi Arabia, Kingdom of",10584811
"United States of America",C840,2022,MTN,MT4,AG,"Agricultural products",C036,Australia,4323528218
"United States of America",C840,2022,MTN,MT4,AG,"Agricultural products",C430,Liberia,339815
"United States of America",C840,2023,MTN,MT4,AG,"Agricultural products",C108,Burundi,5912240
"United States of America",C840,2023,MTN,MT4,AG,"Agricultural products",C418,"Lao People's Democratic Republic",560916
"United States of America",C840,2023,MTN,MT4,AG,"Agricultural products",C643,"Russian Federation",143310066
"United States of America",C840,2021,MTN,MT4,AG,"Agricultural products",C498,"Moldova, Republic of",18318748
"United States of America",C840,2021,MTN,MT4,AG,"Agricultural products",C604,Peru,3053645043
